Class,Start time,End time,Categories,rule,gym,price,level,description
Zumba (w/ Alisson),18:45,19:30,Cardio,IceCube::Rule.weekly(1).day(3),Body Garage (Sodeco),15,All levels,"Zumba is a fusion of Latin and International music/dance themes that create exciting dynamics. It is based on the principle that a workout should be ""Fun and easy to do!"" The routines feature aerobic fitness interval training with a combination of fast and slow rhythms that tone and sculpt the body."
W.O.D (w/ Michel),19:30,20:30,"Crossfit,Strength Training",IceCube::Rule.weekly(1).day(3),Body Garage (Sodeco),15,All levels,Challenging workout of the day. Come and try it.
Tabata (w / Patsy),08:00,08:45,Cardio,IceCube::Rule.weekly(1).day(4),Body Garage (Sodeco),15,All levels,A high-intensity workout protocol with fitness and weight-loss benefits. It is like a circuit training and cross-fit  a combination of both. Tabata offers the maximum benefit with the least amount of time to get the results.
Body Conditining (w/ Michel),18:30,19:15,"Strength Training,Body Toning",IceCube::Rule.weekly(1).day(4),Body Garage (Sodeco),15,All levels,Total body workout that leads to toning and firming your muscles.
Yin Yoga (w/ kaline),19:15,20:15,Yoga,IceCube::Rule.weekly(1).day(4),Body Garage (Sodeco),15,All levels,"A flowing style of yoga that deeply integrates breath and movement, awareness and alignment, as well as stability and flexibility."
Core (w / Samer),18:30,19:30,"Core,Strength Training",IceCube::Rule.weekly(1).day(5),Body Garage (Sodeco),15,All levels,"An intense workout to tighten and tone your midsection in the shortest amount of time possible. The class utilises your body weight and free weight to challenge your balance, coordination and improve your functional strength."
Fit Ride (w / Michel),19:30,19:15,"Cardio,Glutes,Legs",IceCube::Rule.weekly(1).day(5),Body Garage (Sodeco),15,All levels,"An indoor cycling done with weights and/or bands that mixes a variety of tempos and drills over 45 minutes of music. This class emphasises cycling drills, training and technique."
Vinyasa Alignment Yoga (w/ Mayssa),10:00,11:30,Yoga,IceCube::Rule.weekly(1).day(1),Cleanse Yoga Space,17,All levels,dynamic flow based on proper alignment according to Iyengar Yoga
Athtanga Yoga (w/ Gary),18:15,19:30,Yoga,IceCube::Rule.weekly(1).day(1),Cleanse Yoga Space,17,Intermediate - Advanced,"ASHTANGA YOGA is a system of yoga taught by SRI K. PATTABHI jois in the city of mysore, south india. The name ASHTANGA YOGA means 8 limbs in Sanskrit. It is a reference to the 8 part method of practice in the ancient text, the YOGA sutras of PATANJALI. The practice has 3 series each with a specific fixed set of ASANAS linking breath and movement. ASHTANGA primary series, yoga chikitsa or yoga therapy, purfies and heals the body. it is the basis of all coming series that is a dynamic flow combining strength, flexibility and stamina."
Aerial Yoga (w/ Alik),19:45,20:45,Yoga,IceCube::Rule.weekly(1).day(1),Cleanse Yoga Space,20,All levels,"Aerial Yoga is a class is not your regular yoga practice. It is designed to decompress your joints, taking your spine to new lengths and discovering a new relationship to air and earth. Experience weightlessness and increase spine extension."
Yoga Combo (w/ Dina),10:00,11:15,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(2),Cleanse Yoga Space,17,All levels,This class is a combination of all styles of fitness yoga classes. suitable for prenatal.
Yin Yoga (w/ Mayssa),18:00,19:00,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(2),Cleanse Yoga Space,17,All levels,relaxation and deep stretching. Recommended for all levels.
Vinyasa Therapy (w/ Serah),19:00,20:30,Yoga,IceCube::Rule.weekly(1).day(2),Cleanse Yoga Space,17,All levels,"Vinyasa Yoga using yoga ""tune up"" massage therapy balls. Recommended for all levels"
Yin Yoga (w/ Mayssa/Dina),09:30,10:30,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(3),Cleanse Yoga Space,17,All levels,relaxation and deep stretching. Recommended for all levels.
Power Yoga (w/ Mayssa/Dina),10:30,11:30,Yoga,IceCube::Rule.weekly(1).day(3),Cleanse Yoga Space,17,Intermediate - Advanced,advanced cardio yoga based on Vinyasa and Ashtanga Yoga. Not recommended for beginners.
Power Yoga (w/ Mayssa),18:30,19:30,Yoga,IceCube::Rule.weekly(1).day(3),Cleanse Yoga Space,17,Intermediate - Advanced,advanced cardio yoga based on Vinyasa and Ashtanga Yoga. Not recommended for beginners.
Aerial Yoga (w/ Nadine),19:45,20:45,Yoga,IceCube::Rule.weekly(1).day(3),Cleanse Yoga Space,20,All levels,"Aerial Yoga is a class is not your regular yoga practice. It is designed to decompress your joints, taking your spine to new lengths and discovering a new relationship to air and earth. Experience weightlessness and increase spine extension."
Hatha Yoga (w/ Majida),09:30,10:30,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(4),Cleanse Yoga Space,17,All levels,This class is a mixture of both postures and breathing techniques to build strength and flexibility and to relax and calm the mind. This class is suited for students who want a more relaxing and slow paced form of practice. It is also suitable for prenatal
Aerial Yoga (w/ Dina),10:30,11:30,Yoga,IceCube::Rule.weekly(1).day(4),Cleanse Yoga Space,20,All levels,"Aerial Yoga is a class is not your regular yoga practice. It is designed to decompress your joints, taking your spine to new lengths and discovering a new relationship to air and earth. Experience weightlessness and increase spine extension."
Kids Yoga/Aerial (w/ Dina),17:00,18:00,"Yoga,Kids",IceCube::Rule.weekly(1).day(4),Cleanse Yoga Space,17,All levels,anti-gravity workout using yoga hammocks for kids
Pre/Post-natal Yoga,18:00,19:00,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(4),Cleanse Yoga Space,17,All levels,a relaxing yoga class suitable for prenatal and post-natal
Vinyasa Alignment Yoga (w/ Mayssa),19:00,20:30,Yoga,IceCube::Rule.weekly(1).day(4),Cleanse Yoga Space,17,All levels,dynamic flow based on proper alignment according to Iyengar Yoga
Core Yoga(w/ Mayssa),18:15,19:00,Yoga,IceCube::Rule.weekly(1).day(5),Cleanse Yoga Space,17,All levels,"Core power yoga is one of the multi-disciplinary and more vigorous types of yoga that strengthens and empowers the body, mind, and spirit. The practice of core power yoga aims to teach students to communicate with their bodies and access their spiritual core so they can achieve inner power."
Aerial Yoga (w/ Nadine),19:15,20:15,Yoga,IceCube::Rule.weekly(1).day(5),Cleanse Yoga Space,20,All levels,"Aerial Yoga is a class is not your regular yoga practice. It is designed to decompress your joints, taking your spine to new lengths and discovering a new relationship to air and earth. Experience weightlessness and increase spine extension."
Vinyasa Flow (w/ Mayssa),10:30,11:30,"Yoga,Prenatal",IceCube::Rule.weekly(1).day(6),Cleanse Yoga Space,17,All levels,"Vinyasa Yoga focuses on synchronizing every movement with a breath. Vinyasa not only condition the body, but it also works on improving temperment, discipline and mental focus. This class is suited to those with some yoga experience"
Aerial Yoga (w/ Alik),11:45,12:45,Yoga,IceCube::Rule.weekly(1).day(6),Cleanse Yoga Space,20,All levels,"Aerial Yoga is a class is not your regular yoga practice. It is designed to decompress your joints, taking your spine to new lengths and discovering a new relationship to air and earth. Experience weightlessness and increase spine extension."
